2017-03-24 13:58:42.800 I 3012 SampleAnalyzer-1: constructed
2017-03-24 13:58:44.172 I 8068 SampleAnalyzer-1: block transfers changed
2017-03-24 13:58:44.173 I 4516 SampleAnalyzer-1: acquired 54000 samples at start
2017-03-24 13:58:44.176 I 4516 SampleAnalyzer-1: released 967 samples
2017-03-24 13:58:44.176 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.176 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 4516 SampleAnalyzer-1: released 231 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 4516 SampleAnalyzer-1: released 280 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 4516 SampleAnalyzer-1: released 345 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 4516 SampleAnalyzer-1: released 279 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.177 I 4516 SampleAnalyzer-1: released 280 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 4516 SampleAnalyzer-1: released 240 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 4516 SampleAnalyzer-1: released 280 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 4516 SampleAnalyzer-1: released 344 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 4516 SampleAnalyzer-1: released 280 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.178 I 4516 SampleAnalyzer-1: released 297 samples
2017-03-24 13:58:44.178 I 8068 SampleAnalyzer-1: acquired 100 samples
2017-03-24 13:58:44.179 I 8068 SampleAnalyzer-1: acquired 100 samples
